No,Time (s),Temperature (C),Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
0,153365.69,30.5,0,-0.0042610578,0.0021305289,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
1,153365.69,30.5,0.0021305289,0.0010652645,0.0021305289,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
2,153365.69,30.5,0.0031957934,0.0021305289,0.0021305289,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
3,153365.7,30.5,0.0042610578,0.0021305289,0,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
4,153365.7,30.5,0.0031957934,0.0010652645,-0.0063915867,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
5,153365.7,30.5,0.0031957934,0.0010652645,-0.0063915867,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
6,153365.7,30.5,0.0010652645,0.0042610578,-0.0053263223,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
7,153365.7,30.5,-0.0042610578,0.0021305289,-0.0010652645,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
8,153365.7,30.5,-0.0063915867,0.0031957934,0.0010652645,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
9,153365.7,30.5,-0.0085221156,0.0053263223,0,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
10,153365.7,30.5,-0.0021305289,0.0074568512,0,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
11,153365.7,30.5,-0.0010652645,0.0010652645,0.0042610578,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
12,153365.7,30.5,-0.0031957934,-0.0085221156,0.0063915867,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
13,153365.71,30.5,-0.0031957934,-0.0085221156,0.0063915867,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
14,153365.71,30.5,-0.0053263223,-0.0042610578,0.0021305289,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
15,153365.71,30.5,-0.0095873801,-0.0021305289,-0.0021305289,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
16,153365.71,30.5,-0.0095873801,-0.0010652645,-0.0063915867,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
17,153365.71,30.5,-0.0053263223,-0.0010652645,-0.0085221156,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
18,153365.71,30.5,0.0042610578,0,-0.0053263223,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
19,153365.71,30.5,0.0095873801,0.0042610578,-0.0053263223,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
20,153365.71,30.5,0.010652645,0.0042610578,-0.0021305289,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
21,153365.71,30.5,0.0042610578,0.0074568512,-0.0010652645,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
22,153365.71,30.5,0,0,0,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
23,153365.72,30.5,-0.0042610578,-0.0031957934,-0.0021305289,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
24,153365.72,30.5,-0.0042610578,-0.0063915867,-0.0042610578,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
25,153365.72,30.5,-0.0063915867,-0.0053263223,-0.0021305289,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
26,153365.72,30.5,-0.0074568512,-0.0053263223,-0.0010652645,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
27,153365.72,30.5,-0.0074568512,-0.0031957934,0.0010652645,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
28,153365.72,30.5,-0.0021305289,0.0031957934,0,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
29,153365.72,30.5,0.0010652645,0.0085221156,0.0010652645,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
30,153365.72,30.5,0.0021305289,0.010652645,0,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
31,153365.72,30.5,0,0.0053263223,0,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
32,153365.72,30.5,0.0053263223,0.0042610578,-0.0031957934,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
33,153365.73,30.5,0.0074568512,0,-0.0031957934,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
34,153365.73,30.5,0.0095873801,0.0042610578,-0.0031957934,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
35,153365.73,30.5,0.0042610578,0.0042610578,-0.0021305289,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
36,153365.73,30.5,0.0042610578,0.0042610578,-0.0053263223,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
37,153365.73,30.5,0.0042610578,0.0031957934,-0.0031957934,-0.086194336,0.028731447,-10.20924,-0.38100001,-1.605,1.641
