,,Average,APSN
,,,1KWPP810DP8071,1KWPP810G18071,1KWPP810N48071,1KWPP810XM8071,1KWPP811CB8071,1KWPP811GS8071,1KWPP811N48071,1KWPP811R28071,1KWPP811WN8071,1KWPP811YA8071
BLE,Power,, -0.78, -2.65, -2.63, -1.96, -3.23, -3.48, -2.38, -3.63, -1.84, -3.32
,RSSI,, -89.00, -90.00, -92.00, -88.00, -92.00, -91.00, -91.00, -89.00, -90.00, -90.00
WIFI_0,Power/1,, 16.15, 14.81, 13.68, 14.70, 13.25, 14.42, 14.87, 14.31, 14.35, 14.88
,Power/7,, 16.54, 15.23, 14.13, 14.99, 13.62, 14.67, 15.09, 14.90, 14.68, 15.04
,Power/13,, 15.61, 14.29, 13.51, 14.02, 12.74, 13.76, 14.09, 14.32, 13.95, 13.94
,Power/36,, 10.17, 12.71, 11.44, 13.71, 17.02, 11.37, 14.18, 15.10, 15.97, 13.31
,Power/165,, 17.04, 16.50, 16.77, 17.11, 15.80, 16.83, 16.05, 17.39, 16.60, 16.22
,RSSI/1,, 16.15, 14.81, 13.68, 14.70, 13.25, 14.42, 14.87, 14.31, 14.35, 14.88
,RSSI/7,, 16.54, 15.23, 14.13, 14.99, 13.62, 14.67, 15.09, 14.90, 14.68, 15.04
,RSSI/13,, 15.61, 14.29, 13.51, 14.02, 12.74, 13.76, 14.09, 14.32, 13.95, 13.94
,RSSI/36,, 10.17, 12.71, 11.44, 13.71, 17.02, 11.37, 14.18, 15.10, 15.97, 13.31
,RSSI/165,, 17.04, 16.50, 16.77, 17.11, 15.80, 16.83, 16.05, 17.39, 16.60, 16.22
WIFI_1,Power/1,, 16.89, 15.53, 15.76, 16.21, 15.61, 16.22, 15.61, 16.07, 15.93, 16.19
,Power/7,, 16.97, 15.78, 16.20, 16.90, 15.81, 16.62, 15.95, 15.85, 16.27, 16.55
,Power/13,, 16.66, 15.51, 16.05, 16.79, 15.48, 16.39, 15.70, 14.82, 16.00, 16.12
,Power/36,, 16.49, 16.70, 16.65, 17.12, 17.71, 16.64, 16.79, 16.22, 15.89, 16.62
,Power/165,, 15.31, 12.68, 14.89, 13.69, 13.91, 13.35, 12.59, 15.24, 13.60, 11.58
,RSSI/1,, 16.89, 15.53, 15.76, 16.21, 15.61, 16.22, 15.61, 16.07, 15.93, 16.19
,RSSI/7,, 16.97, 15.78, 16.20, 16.90, 15.81, 16.62, 15.95, 15.85, 16.27, 16.55
,RSSI/13,, 16.66, 15.51, 16.05, 16.79, 15.48, 16.39, 15.70, 14.82, 16.00, 16.12
,RSSI/36,, 16.49, 16.70, 16.65, 17.12, 17.71, 16.64, 16.79, 16.22, 15.89, 16.62
,RSSI/165,, 15.31, 12.68, 14.89, 13.69, 13.91, 13.35, 12.59, 15.24, 13.60, 11.58
